Student_ID,Name,Subject,Past_Score,Preferred_Learning_Method,Preferred_Test_Type,Effective_Learning_Method
S056,Student_56,History,78,Practice Tests,Written,Practice Tests
S057,Student_57,Math,57,Group Studies,Multiple-Choice,Practice Tests
S058,Student_58,Science,43,Practice Tests,Written,Video Tutorials
S059,Student_59,English,64,Practice Tests,Multiple-Choice,Video Tutorials
S060,Student_60,Math,99,Reading,Oral,Reading
S061,Student_61,History,53,Practice Tests,Written,Group Studies
S062,Student_62,English,89,Video Tutorials,Written,Practice Tests
S063,Student_63,History,97,Practice Tests,Multiple-Choice,Practice Tests
S064,Student_64,English,48,Reading,Written,Reading
S065,Student_65,History,65,Video Tutorials,Multiple-Choice,Group Studies
S066,Student_66,English,92,Reading,Written,Group Studies
S067,Student_67,English,41,Reading,Oral,Reading
S068,Student_68,Science,59,Video Tutorials,Oral,Group Studies
S069,Student_69,Science,67,Reading,Oral,Reading
S070,Student_70,History,86,Practice Tests,Multiple-Choice,Reading
S071,Student_71,English,99,Reading,Written,Practice Tests
S072,Student_72,English,46,Video Tutorials,Oral,Video Tutorials
S073,Student_73,Math,83,Video Tutorials,Oral,Practice Tests
S074,Student_74,Science,47,Reading,Multiple-Choice,Video Tutorials
S075,Student_75,Math,86,Practice Tests,Written,Reading
S076,Student_76,Math,74,Video Tutorials,Multiple-Choice,Practice Tests
S077,Student_77,English,53,Group Studies,Multiple-Choice,Practice Tests
S078,Student_78,Math,56,Practice Tests,Multiple-Choice,Group Studies
S079,Student_79,History,75,Group Studies,Written,Reading
S080,Student_80,English,89,Reading,Written,Group Studies
S081,Student_81,Science,79,Group Studies,Multiple-Choice,Practice Tests
S082,Student_82,Science,43,Practice Tests,Oral,Video Tutorials
S083,Student_83,English,41,Video Tutorials,Written,Reading
S084,Student_84,English,45,Group Studies,Oral,Video Tutorials
S085,Student_85,Math,93,Video Tutorials,Multiple-Choice,Video Tutorials
S086,Student_86,Science,81,Video Tutorials,Written,Video Tutorials
S087,Student_87,History,43,Practice Tests,Multiple-Choice,Practice Tests
S088,Student_88,Science,93,Group Studies,Written,Reading
S089,Student_89,History,68,Reading,Written,Video Tutorials
S090,Student_90,Science,57,Reading,Multiple-Choice,Practice Tests
S091,Student_91,Math,65,Reading,Written,Video Tutorials
S092,Student_92,History,83,Practice Tests,Oral,Reading
S093,Student_93,Science,73,Reading,Written,Video Tutorials
S094,Student_94,Math,49,Video Tutorials,Written,Practice Tests
S095,Student_95,Science,75,Practice Tests,Oral,Practice Tests
S096,Student_96,Math,53,Reading,Written,Video Tutorials
S097,Student_97,History,70,Group Studies,Multiple-Choice,Video Tutorials
S098,Student_98,English,87,Reading,Written,Practice Tests
S099,Student_99,Math,54,Group Studies,Multiple-Choice,Video Tutorials
S100,Student_100,Math,47,Group Studies,Oral,Group Studies
