Student_ID,Name,Subject,Past_Score,Preferred_Learning_Method,Preferred_Test_Type,Effective_Learning_Method
S057,Student_57,3,57,2,2,3
S058,Student_58,3,43,0,0,3
S059,Student_59,1,64,1,0,1
S060,Student_60,3,99,2,2,1
S061,Student_61,3,53,0,1,0
S062,Student_62,0,89,1,1,1
S063,Student_63,1,97,1,1,3
S064,Student_64,1,48,2,1,3
S065,Student_65,1,65,1,2,0
S066,Student_66,3,92,1,0,3
S067,Student_67,1,41,3,2,2
S068,Student_68,1,59,3,1,3
S069,Student_69,1,67,0,2,2
S070,Student_70,1,86,1,0,1
S071,Student_71,0,99,1,0,3
S072,Student_72,3,46,1,0,1
S073,Student_73,3,83,2,1,1
S074,Student_74,1,47,0,2,0
S075,Student_75,0,86,2,1,0
S076,Student_76,0,74,1,0,1
S077,Student_77,2,53,1,2,3
S078,Student_78,2,56,2,2,2
S079,Student_79,1,75,3,2,2
S080,Student_80,1,89,2,1,3
S081,Student_81,0,79,1,0,2
S082,Student_82,1,43,0,2,1
S083,Student_83,2,41,1,2,2
S084,Student_84,0,45,0,1,3
S085,Student_85,1,93,2,0,1
S086,Student_86,3,81,1,0,0
S087,Student_87,1,43,3,0,3
S088,Student_88,2,93,0,2,3
S089,Student_89,0,68,1,2,3
S090,Student_90,1,57,0,1,0
S091,Student_91,3,65,0,2,1
S092,Student_92,3,83,0,2,0
S093,Student_93,0,73,2,1,3
S094,Student_94,2,49,0,0,0
S095,Student_95,3,75,2,1,3
S096,Student_96,1,53,1,1,0
S097,Student_97,2,70,1,2,2
S098,Student_98,3,87,2,2,1
S099,Student_99,0,54,3,1,0
S100,Student_100,2,47,0,1,0
S101,Student_101,3,53,2,2,0
S102,Student_102,2,62,3,0,1
S103,Student_103,1,99,1,1,2
S104,Student_104,0,96,3,1,0
S105,Student_105,1,79,3,2,0
S106,Student_106,3,60,0,2,2
S107,Student_107,1,55,0,1,2
S108,Student_108,1,84,2,2,1
S109,Student_109,2,57,3,0,2
S110,Student_110,2,86,1,1,1
S111,Student_111,2,92,3,0,0
S112,Student_112,2,63,0,0,2
S113,Student_113,3,65,0,2,0
S114,Student_114,1,64,0,2,0
S115,Student_115,3,99,1,1,0
S116,Student_116,0,99,0,1,0
S117,Student_117,0,99,1,2,0
S118,Student_118,1,84,2,2,3
S119,Student_119,0,80,3,0,2
S120,Student_120,1,68,2,2,3
S121,Student_121,2,54,2,2,0
S122,Student_122,2,84,1,0,3
S123,Student_123,1,40,1,2,0
S124,Student_124,2,64,0,0,3
S125,Student_125,2,46,2,1,2
S126,Student_126,1,48,2,0,3
S127,Student_127,1,63,2,1,1
S128,Student_128,2,40,0,2,3
S129,Student_129,1,83,0,1,1
S130,Student_130,1,47,1,2,0
S131,Student_131,0,63,2,1,1
S132,Student_132,3,50,1,2,1
S133,Student_133,0,90,0,2,0
S134,Student_134,1,56,3,1,2
S135,Student_135,0,47,2,0,3
S136,Student_136,3,74,2,2,2
S137,Student_137,0,74,0,0,0
S138,Student_138,1,72,0,1,2
S139,Student_139,3,98,2,2,0
S140,Student_140,3,44,3,1,2
S141,Student_141,1,81,0,0,1
S142,Student_142,1,78,0,0,0
S143,Student_143,2,97,2,1,1
S144,Student_144,0,80,0,2,1
S145,Student_145,0,67,2,0,1
S146,Student_146,3,46,2,2,3
S147,Student_147,2,48,1,2,0
S148,Student_148,1,47,3,1,2
S149,Student_149,0,51,3,0,0
S150,Student_150,3,73,0,2,0
S151,Student_151,2,72,0,0,0
S152,Student_152,0,87,0,1,1
S153,Student_153,2,94,0,1,1
S154,Student_154,0,62,2,1,2
S155,Student_155,1,63,0,2,1
S156,Student_156,3,76,1,1,3
S157,Student_157,3,74,1,1,3
S158,Student_158,3,83,1,2,0
S159,Student_159,2,79,0,2,1
S160,Student_160,2,61,2,1,0
S161,Student_161,0,66,0,1,0
S162,Student_162,3,74,1,1,3
S163,Student_163,2,40,3,0,1
S164,Student_164,2,74,2,0,3
S165,Student_165,2,76,1,0,3
S166,Student_166,0,86,2,1,2
S167,Student_167,3,53,1,0,2
S168,Student_168,3,42,2,0,3
S169,Student_169,0,40,0,2,0
S170,Student_170,3,44,3,1,0
S171,Student_171,3,65,0,1,3
S172,Student_172,1,94,3,1,2
S173,Student_173,0,53,3,0,1
S174,Student_174,3,78,1,2,3
S175,Student_175,0,66,1,1,0
S176,Student_176,1,48,0,1,1
S177,Student_177,1,54,0,1,3
S178,Student_178,1,54,0,1,1
S179,Student_179,2,65,3,2,1
S180,Student_180,0,81,2,1,3
S181,Student_181,2,99,1,0,3
S182,Student_182,1,52,0,2,1
S183,Student_183,1,90,0,2,3
S184,Student_184,1,71,2,1,2
S185,Student_185,1,78,3,0,3
S186,Student_186,3,88,3,2,3
S187,Student_187,2,91,1,2,2
S188,Student_188,1,71,3,0,3
S189,Student_189,2,43,2,2,1
S190,Student_190,2,69,3,1,3
S191,Student_191,2,76,3,0,0
S192,Student_192,3,62,3,1,3
S193,Student_193,0,78,2,2,0
S194,Student_194,0,84,0,1,1
S195,Student_195,0,54,0,2,1
S196,Student_196,0,82,0,0,0
S197,Student_197,2,68,0,2,3
S198,Student_198,0,75,0,0,3
S199,Student_199,2,52,1,1,2
S200,Student_200,0,71,1,2,2
S201,Student_201,3,46,3,2,0
S202,Student_202,2,98,3,1,1
S203,Student_203,3,90,2,0,2
S204,Student_204,0,61,3,0,2
S205,Student_205,1,67,1,0,0
S206,Student_206,1,41,2,0,2
S207,Student_207,3,81,0,0,3
S208,Student_208,3,84,3,0,2
S209,Student_209,0,96,2,2,1
S210,Student_210,2,92,3,1,2
S211,Student_211,3,45,3,2,0
S212,Student_212,3,67,0,0,2
S213,Student_213,1,67,3,2,3
S214,Student_214,0,83,2,2,1
S215,Student_215,3,83,2,0,1
S216,Student_216,0,59,3,0,1
S217,Student_217,3,69,2,1,1
S218,Student_218,2,50,3,2,2
S219,Student_219,3,97,2,1,0
S220,Student_220,3,94,1,2,0
S221,Student_221,3,67,1,2,3
S222,Student_222,3,64,0,2,3
S223,Student_223,2,78,0,0,3
S224,Student_224,1,72,1,1,0
S225,Student_225,3,40,2,2,1
S226,Student_226,1,96,3,2,2
S227,Student_227,1,66,2,0,1
S228,Student_228,2,96,1,2,1
S229,Student_229,0,91,3,2,1
S230,Student_230,0,52,3,2,2
S231,Student_231,1,80,3,0,3
S232,Student_232,1,42,0,2,2
S233,Student_233,3,78,2,2,0
S234,Student_234,2,45,2,1,0
S235,Student_235,2,47,0,1,2
S236,Student_236,0,66,2,2,0
S237,Student_237,2,48,3,0,0
S238,Student_238,1,76,1,2,2
S239,Student_239,1,72,2,1,0
S240,Student_240,3,90,3,1,1
S241,Student_241,2,81,0,2,2
S242,Student_242,3,83,3,0,1
S243,Student_243,3,63,3,1,1
S244,Student_244,2,54,3,1,2
S245,Student_245,2,98,3,2,1
S246,Student_246,1,93,3,1,2
S247,Student_247,3,71,0,2,3
S248,Student_248,3,71,1,2,3
S249,Student_249,0,63,1,2,2
S250,Student_250,0,80,3,1,3
S251,Student_251,0,91,1,2,3
S252,Student_252,1,88,1,2,2
S253,Student_253,1,88,0,1,3
S254,Student_254,3,97,0,2,0
S255,Student_255,0,91,0,1,1
S256,Student_256,2,51,3,1,1
S257,Student_257,3,78,2,1,2
S258,Student_258,0,41,1,2,0
S259,Student_259,3,42,3,0,2
S260,Student_260,3,88,2,2,1
S261,Student_261,0,76,0,0,3
S262,Student_262,0,88,1,0,1
S263,Student_263,2,95,0,2,2
S264,Student_264,3,56,0,1,3
S265,Student_265,2,98,0,0,0
S266,Student_266,0,88,0,2,2
S267,Student_267,1,41,0,1,3
S268,Student_268,2,41,2,0,0
S269,Student_269,3,67,3,0,0
S270,Student_270,3,93,2,2,3
S271,Student_271,3,62,1,0,2
S272,Student_272,3,76,0,2,0
S273,Student_273,1,71,3,0,0
S274,Student_274,2,72,2,1,1
S275,Student_275,2,40,0,1,0
S276,Student_276,1,58,1,1,1
S277,Student_277,3,41,1,0,3
S278,Student_278,3,92,1,2,1
S279,Student_279,1,83,2,2,3
S280,Student_280,1,65,1,0,3
S281,Student_281,1,71,0,0,0
S282,Student_282,1,45,3,1,0
S283,Student_283,0,71,0,2,1
S284,Student_284,0,94,0,2,3
S285,Student_285,1,43,1,0,3
S286,Student_286,3,94,0,0,0
S287,Student_287,0,50,3,1,1
S288,Student_288,0,95,1,1,2
S289,Student_289,0,98,0,0,0
S290,Student_290,2,56,1,0,2
S291,Student_291,2,77,2,1,2
S292,Student_292,0,63,0,0,0
S293,Student_293,2,44,0,2,0
S294,Student_294,1,91,1,1,3
S295,Student_295,2,73,2,1,2
S296,Student_296,3,45,3,1,1
S297,Student_297,0,61,1,2,0
S298,Student_298,1,50,3,1,2
S299,Student_299,2,87,1,2,0
S300,Student_300,1,55,1,2,1
S301,Student_301,2,72,1,1,3
S302,Student_302,3,48,1,2,0
S303,Student_303,2,99,0,2,3
S304,Student_304,1,98,0,1,2
S305,Student_305,0,45,0,1,2
S306,Student_306,3,55,2,1,3
S307,Student_307,3,68,3,0,1
S308,Student_308,1,42,2,0,0
S309,Student_309,2,59,1,0,2
S310,Student_310,3,99,1,1,2
S311,Student_311,0,98,0,0,2
S312,Student_312,1,75,0,1,0
S313,Student_313,2,58,2,2,0
S314,Student_314,3,65,2,0,0
S315,Student_315,2,42,1,2,2
S316,Student_316,2,58,1,0,0
S317,Student_317,1,59,0,2,2
S318,Student_318,1,71,0,0,2
S319,Student_319,1,46,0,2,3
S320,Student_320,3,91,3,1,0
S321,Student_321,2,80,1,2,0
S322,Student_322,3,72,3,0,3
S323,Student_323,0,79,1,0,3
S324,Student_324,3,78,0,2,0
S325,Student_325,0,57,0,1,2
S326,Student_326,1,79,0,2,2
S327,Student_327,3,40,3,1,2
S328,Student_328,3,50,2,1,1
S329,Student_329,2,67,3,2,1
S330,Student_330,2,96,3,1,1
S331,Student_331,2,64,0,2,0
S332,Student_332,1,89,0,1,3
S333,Student_333,1,62,3,0,2
S334,Student_334,2,70,1,1,2
S335,Student_335,3,69,0,2,2
S336,Student_336,0,81,0,0,0
S337,Student_337,1,74,2,1,1
S338,Student_338,0,46,0,1,3
S339,Student_339,2,99,2,1,0
S340,Student_340,2,55,1,1,3
S341,Student_341,1,65,0,1,3
S342,Student_342,1,87,2,2,2
S343,Student_343,2,96,1,1,0
S344,Student_344,3,91,1,0,0
S345,Student_345,3,99,0,0,1
S346,Student_346,0,88,2,2,0
S347,Student_347,0,41,1,2,3
S348,Student_348,1,40,2,1,0
S349,Student_349,0,87,3,2,3
S350,Student_350,2,51,3,2,2
S351,Student_351,3,44,1,1,1
S352,Student_352,2,76,0,2,3
S353,Student_353,2,71,1,2,2
S354,Student_354,0,98,3,0,0
S355,Student_355,0,94,3,0,3
S356,Student_356,2,48,1,2,1
S357,Student_357,0,80,1,2,3
S358,Student_358,0,74,1,1,2
S359,Student_359,3,58,1,1,3
S360,Student_360,1,87,0,0,2
S361,Student_361,3,55,3,2,1
S362,Student_362,2,42,2,2,1
S363,Student_363,3,59,2,1,3
S364,Student_364,2,63,0,2,0
S365,Student_365,2,93,3,0,1
S366,Student_366,2,95,1,1,2
S367,Student_367,3,72,0,0,3
S368,Student_368,3,63,0,2,3
S369,Student_369,2,91,1,0,0
S370,Student_370,0,50,3,0,1
S371,Student_371,2,88,2,1,1
S372,Student_372,3,47,3,1,3
S373,Student_373,3,75,0,2,2
S374,Student_374,3,77,2,0,0
S375,Student_375,3,79,2,2,0
S376,Student_376,3,59,2,2,3
S377,Student_377,3,74,0,0,1
S378,Student_378,2,87,3,0,0
S379,Student_379,1,64,1,2,1
S380,Student_380,1,74,0,0,3
S381,Student_381,1,64,0,0,1
S382,Student_382,2,68,0,1,1
S383,Student_383,3,57,3,1,2
S384,Student_384,1,85,0,0,2
S385,Student_385,2,57,3,1,2
S386,Student_386,0,41,2,2,3
S387,Student_387,3,93,0,1,3
S388,Student_388,0,74,0,0,0
S389,Student_389,1,55,3,0,0
S390,Student_390,1,80,0,0,3
S391,Student_391,2,75,0,0,0
S392,Student_392,1,72,1,0,0
S393,Student_393,2,43,1,0,3
S394,Student_394,1,72,0,1,3
S395,Student_395,1,53,3,1,0
S396,Student_396,0,60,1,0,1
S397,Student_397,0,87,0,1,3
S398,Student_398,3,59,2,0,3
S399,Student_399,3,95,1,2,3
S400,Student_400,1,47,2,0,3
S401,Student_401,1,46,0,0,0
S402,Student_402,0,42,1,1,3
S403,Student_403,0,56,0,1,2
S404,Student_404,3,72,1,1,3
S405,Student_405,1,87,1,1,0
S406,Student_406,1,51,1,2,3
S407,Student_407,0,98,1,1,3
S408,Student_408,3,90,3,1,1
S409,Student_409,0,61,0,0,3
S410,Student_410,3,94,3,0,2
S411,Student_411,1,61,2,2,3
S412,Student_412,0,85,3,1,3
S413,Student_413,0,69,3,2,3
S414,Student_414,2,77,0,2,3
S415,Student_415,0,77,1,1,3
S416,Student_416,2,84,2,1,2
S417,Student_417,0,90,0,1,1
S418,Student_418,1,93,1,1,2
S419,Student_419,0,47,3,1,3
S420,Student_420,0,66,3,0,1
S421,Student_421,3,66,1,0,1
S422,Student_422,1,73,3,0,1
S423,Student_423,2,60,3,2,3
S424,Student_424,0,69,3,0,0
S425,Student_425,3,72,0,2,3
S426,Student_426,2,67,0,0,3
S427,Student_427,1,86,1,2,2
S428,Student_428,2,72,3,1,2
S429,Student_429,0,44,0,1,0
S430,Student_430,3,99,3,0,0
S431,Student_431,2,87,2,1,1
S432,Student_432,0,58,3,1,3
S433,Student_433,1,43,1,0,2
S434,Student_434,3,74,0,1,3
S435,Student_435,0,88,1,2,2
S436,Student_436,1,56,2,2,3
S437,Student_437,1,83,3,2,1
S438,Student_438,1,67,1,0,0
S439,Student_439,1,69,2,2,0
S440,Student_440,1,68,0,1,3
S441,Student_441,1,85,2,2,2
S442,Student_442,2,92,2,2,0
S443,Student_443,0,45,0,2,1
S444,Student_444,2,74,2,1,0
S445,Student_445,1,99,3,2,1
S446,Student_446,1,80,0,0,3
S447,Student_447,1,76,0,2,0
S448,Student_448,2,63,3,2,0
S449,Student_449,0,68,0,0,0
S450,Student_450,2,88,1,2,1
S451,Student_451,3,85,0,2,2
S452,Student_452,1,92,1,1,1
S453,Student_453,2,70,0,1,3
S454,Student_454,1,74,0,0,2
S455,Student_455,1,99,3,0,1
S456,Student_456,2,72,3,2,2
S457,Student_457,1,91,3,1,0
S458,Student_458,0,60,0,1,3
S459,Student_459,2,71,0,2,0
S460,Student_460,0,62,1,1,1
S461,Student_461,2,72,2,0,1
S462,Student_462,1,42,0,0,3
S463,Student_463,2,57,1,1,3
S464,Student_464,0,64,2,1,1
S465,Student_465,0,81,3,1,1
S466,Student_466,0,70,2,2,0
S467,Student_467,1,93,0,2,1
S468,Student_468,1,97,0,1,0
S469,Student_469,1,42,3,1,0
S470,Student_470,0,79,2,0,1
S471,Student_471,2,85,0,2,3
S472,Student_472,1,63,2,1,2
S473,Student_473,1,89,2,1,2
S474,Student_474,0,71,0,0,3
S475,Student_475,2,86,3,1,2
S476,Student_476,3,61,1,1,3
S477,Student_477,0,62,3,2,2
S478,Student_478,2,41,1,1,1
S479,Student_479,3,66,3,1,3
S480,Student_480,0,81,1,1,3
S481,Student_481,0,41,3,2,3
S482,Student_482,3,65,0,0,0
S483,Student_483,2,56,2,1,2
S484,Student_484,0,79,1,0,0
S485,Student_485,0,72,0,1,0
S486,Student_486,2,48,0,0,2
S487,Student_487,0,82,3,1,1
S488,Student_488,1,93,1,1,1
S489,Student_489,3,87,2,0,3
S490,Student_490,2,78,3,2,0
S491,Student_491,3,68,0,1,1
S492,Student_492,2,81,3,2,0
S493,Student_493,2,94,2,2,1
S494,Student_494,2,65,3,0,2
S495,Student_495,3,74,3,2,0
S496,Student_496,0,89,1,2,0
S497,Student_497,3,64,1,2,3
S498,Student_498,0,63,0,2,0
S499,Student_499,0,52,1,0,0
S500,Student_500,1,99,0,0,3
S501,Student_501,1,97,1,1,0
S502,Student_502,0,46,0,1,2
S503,Student_503,3,96,0,1,2
S504,Student_504,2,75,3,1,3
S505,Student_505,3,84,0,2,0
S506,Student_506,1,59,0,1,0
S507,Student_507,0,40,0,1,0
S508,Student_508,2,47,2,1,1
S509,Student_509,2,85,2,2,0
S510,Student_510,3,55,1,2,2
S511,Student_511,2,53,2,1,1
S512,Student_512,0,51,0,1,0
S513,Student_513,3,90,2,0,3
S514,Student_514,3,62,0,1,1
S515,Student_515,3,54,3,2,0
S516,Student_516,1,67,2,2,0
S517,Student_517,0,73,2,0,1
S518,Student_518,3,41,0,0,0
S519,Student_519,0,71,0,1,2
S520,Student_520,3,62,3,0,2
S521,Student_521,2,61,0,2,1
S522,Student_522,3,90,0,1,3
S523,Student_523,0,64,3,1,2
S524,Student_524,2,97,1,1,0
S525,Student_525,3,61,1,1,1
S526,Student_526,3,97,3,1,1
S527,Student_527,0,97,3,2,2
S528,Student_528,2,61,0,0,0
S529,Student_529,2,88,2,0,1
S530,Student_530,2,91,1,2,3
S531,Student_531,3,81,0,1,2
S532,Student_532,3,45,2,1,3
S533,Student_533,1,54,2,1,3
S534,Student_534,1,93,1,1,1
S535,Student_535,1,82,0,1,1
S536,Student_536,0,99,0,0,2
S537,Student_537,0,76,0,2,3
S538,Student_538,1,72,3,1,0
S539,Student_539,0,47,3,1,0
S540,Student_540,2,92,0,2,0
S541,Student_541,1,99,3,2,2
S542,Student_542,3,83,2,0,1
S543,Student_543,1,83,0,0,2
S544,Student_544,1,44,3,2,0
S545,Student_545,2,78,2,1,3
S546,Student_546,0,43,2,1,2
S547,Student_547,1,45,2,1,1
S548,Student_548,3,84,1,0,0
S549,Student_549,3,71,0,0,2
S550,Student_550,0,91,3,0,3
S551,Student_551,0,69,1,2,3
S552,Student_552,0,86,0,1,3
S553,Student_553,2,74,0,1,0
S554,Student_554,2,94,1,2,0
S555,Student_555,1,79,2,0,2
S556,Student_556,3,91,0,2,3
S557,Student_557,1,55,2,1,0
S558,Student_558,1,52,1,2,3
S559,Student_559,1,89,3,2,3
S560,Student_560,0,99,2,1,1
S561,Student_561,0,81,0,2,2
S562,Student_562,2,69,2,1,2
S563,Student_563,0,58,3,1,3
S564,Student_564,2,56,2,1,1
S565,Student_565,0,95,3,0,1
S566,Student_566,0,58,1,2,0
S567,Student_567,1,67,3,0,1
S568,Student_568,0,97,1,0,2
S569,Student_569,3,94,0,2,0
S570,Student_570,3,65,0,1,1
S571,Student_571,0,76,0,0,1
S572,Student_572,1,65,0,2,1
S573,Student_573,0,92,0,0,3
S574,Student_574,3,62,2,0,2
S575,Student_575,0,48,1,1,3
S576,Student_576,0,51,3,1,0
S577,Student_577,1,92,2,2,0
S578,Student_578,0,40,3,0,3
S579,Student_579,0,97,1,1,3
S580,Student_580,3,97,3,0,3
S581,Student_581,0,40,3,0,2
S582,Student_582,3,86,3,2,1
S583,Student_583,3,73,3,2,3
S584,Student_584,1,71,2,2,3
S585,Student_585,1,93,3,0,2
S586,Student_586,0,87,0,2,2
S587,Student_587,2,64,1,2,1
S588,Student_588,0,79,3,0,1
S589,Student_589,0,84,2,0,0
S590,Student_590,0,92,3,2,0
S591,Student_591,3,40,0,0,0
S592,Student_592,1,55,0,0,2
S593,Student_593,1,78,2,0,2
S594,Student_594,1,44,0,0,3
S595,Student_595,1,61,0,0,1
S596,Student_596,3,68,1,1,2
S597,Student_597,3,94,3,2,0
S598,Student_598,0,42,2,2,3
S599,Student_599,2,51,3,0,3
S600,Student_600,3,65,0,2,3
S601,Student_601,0,55,1,0,1
S602,Student_602,3,90,2,2,3
S603,Student_603,1,76,2,2,0
S604,Student_604,3,61,3,1,3
S605,Student_605,3,96,1,1,0
S606,Student_606,0,68,1,2,1
S607,Student_607,0,53,3,1,1
S608,Student_608,0,67,1,0,3
S609,Student_609,3,44,0,1,2
S610,Student_610,1,86,2,1,1
S611,Student_611,1,88,0,0,3
S612,Student_612,3,69,1,1,1
S613,Student_613,0,85,3,0,3
S614,Student_614,0,91,3,1,2
S615,Student_615,0,44,0,0,3
S616,Student_616,2,51,0,1,3
S617,Student_617,0,55,2,2,2
S618,Student_618,3,65,1,1,2
S619,Student_619,3,65,2,2,1
S620,Student_620,1,87,2,0,2
S621,Student_621,3,60,3,2,1
S622,Student_622,0,78,3,0,2
S623,Student_623,3,75,1,2,0
S624,Student_624,0,72,1,1,0
S625,Student_625,2,69,0,0,3
S626,Student_626,2,76,1,0,3
S627,Student_627,1,62,2,2,2
S628,Student_628,0,97,1,1,3
S629,Student_629,1,49,3,2,3
S630,Student_630,3,93,3,0,0
S631,Student_631,2,44,3,1,2
S632,Student_632,1,75,3,1,1
S633,Student_633,0,73,2,1,3
S634,Student_634,2,91,0,1,1
S635,Student_635,2,70,1,2,2
S636,Student_636,0,49,3,1,2
S637,Student_637,0,97,1,0,0
S638,Student_638,2,58,2,1,3
S639,Student_639,1,97,2,2,0
S640,Student_640,3,71,2,0,2
S641,Student_641,2,40,2,0,1
S642,Student_642,0,95,1,0,0
S643,Student_643,1,44,0,2,2
S644,Student_644,3,84,2,0,3
S645,Student_645,3,43,0,0,2
S646,Student_646,2,55,3,0,2
S647,Student_647,0,63,0,1,1
S648,Student_648,1,55,1,0,1
S649,Student_649,2,94,3,0,3
S650,Student_650,2,41,1,1,2
S651,Student_651,3,88,2,0,3
S652,Student_652,3,67,2,2,0
S653,Student_653,0,71,0,2,0
S654,Student_654,0,66,2,2,2
S655,Student_655,0,59,0,0,2
S656,Student_656,2,63,0,2,0
S657,Student_657,3,51,3,2,1
S658,Student_658,0,89,0,0,2
S659,Student_659,2,74,2,0,1
S660,Student_660,1,99,0,2,2
S661,Student_661,1,72,2,0,2
S662,Student_662,1,72,1,1,1
S663,Student_663,0,90,2,0,3
S664,Student_664,1,82,3,2,2
S665,Student_665,0,76,2,2,1
S666,Student_666,2,51,2,0,0
S667,Student_667,1,42,2,0,1
S668,Student_668,3,40,3,1,3
S669,Student_669,2,72,1,0,3
S670,Student_670,3,79,0,1,1
S671,Student_671,0,49,1,0,0
S672,Student_672,1,82,3,2,1
S673,Student_673,0,83,1,0,1
S674,Student_674,1,68,3,2,2
S675,Student_675,3,52,0,0,1
S676,Student_676,2,51,1,0,2
S677,Student_677,3,70,3,0,3
S678,Student_678,2,85,3,2,3
S679,Student_679,0,41,2,1,0
S680,Student_680,0,90,2,0,2
S681,Student_681,1,89,1,2,2
S682,Student_682,1,74,0,1,0
S683,Student_683,0,62,2,2,3
S684,Student_684,0,56,1,1,1
S685,Student_685,2,65,3,0,0
S686,Student_686,1,47,0,2,0
S687,Student_687,2,68,2,0,1
S688,Student_688,1,65,1,2,1
S689,Student_689,3,49,3,1,1
S690,Student_690,1,65,3,0,3
S691,Student_691,3,73,0,2,0
S692,Student_692,2,90,0,1,0
S693,Student_693,2,80,1,0,0
S694,Student_694,0,46,2,2,0
S695,Student_695,2,43,3,1,3
S696,Student_696,1,97,2,0,0
S697,Student_697,2,92,3,0,2
S698,Student_698,2,89,2,1,1
S699,Student_699,1,84,2,1,3
S700,Student_700,3,50,2,1,2
S701,Student_701,0,68,2,2,2
S702,Student_702,3,95,3,1,3
S703,Student_703,2,75,3,2,2
S704,Student_704,1,64,3,0,2
S705,Student_705,1,60,2,2,0
S706,Student_706,2,96,0,1,0
S707,Student_707,1,75,3,2,1
S708,Student_708,3,49,2,0,2
S709,Student_709,2,76,0,2,0
S710,Student_710,2,48,0,1,1
S711,Student_711,0,63,1,0,1
S712,Student_712,1,74,3,1,1
S713,Student_713,2,88,3,2,1
S714,Student_714,1,74,1,2,3
S715,Student_715,2,87,2,2,3
S716,Student_716,1,75,2,1,2
S717,Student_717,2,57,0,0,0
S718,Student_718,2,88,0,1,3
S719,Student_719,3,78,0,0,1
S720,Student_720,1,71,3,1,1
S721,Student_721,0,63,2,0,1
S722,Student_722,2,62,0,1,3
S723,Student_723,1,71,1,2,1
S724,Student_724,2,76,3,2,0
S725,Student_725,2,51,2,2,1
S726,Student_726,3,88,3,0,0
S727,Student_727,1,94,2,0,3
S728,Student_728,1,52,1,2,3
S729,Student_729,2,62,2,0,1
S730,Student_730,3,64,2,0,1
S731,Student_731,2,74,3,0,1
S732,Student_732,2,80,3,1,2
S733,Student_733,3,69,0,1,0
S734,Student_734,0,56,3,2,1
S735,Student_735,2,88,3,1,3
S736,Student_736,1,59,1,1,1
S737,Student_737,1,87,2,0,1
S738,Student_738,3,64,2,2,3
S739,Student_739,2,61,1,2,3
S740,Student_740,3,52,3,2,0
S741,Student_741,3,98,1,2,0
S742,Student_742,1,58,1,2,2
S743,Student_743,0,88,2,2,0
S744,Student_744,3,75,1,0,3
S745,Student_745,0,51,2,2,0
S746,Student_746,0,80,0,0,0
S747,Student_747,0,58,3,0,1
S748,Student_748,2,51,1,1,3
S749,Student_749,1,48,0,0,3
S750,Student_750,2,46,2,0,0
S751,Student_751,1,67,0,1,1
S752,Student_752,0,53,0,2,1
S753,Student_753,1,70,2,2,1
S754,Student_754,0,91,1,1,3
S755,Student_755,3,58,2,1,2
S756,Student_756,2,97,3,2,1
S757,Student_757,1,86,2,2,1
S758,Student_758,2,55,1,1,0
S759,Student_759,1,92,0,0,1
S760,Student_760,3,44,1,2,0
S761,Student_761,0,74,2,2,1
S762,Student_762,1,51,2,2,3
S763,Student_763,3,64,2,0,3
S764,Student_764,2,91,1,0,1
S765,Student_765,3,98,2,0,0
S766,Student_766,1,60,3,2,2
S767,Student_767,2,75,0,2,1
S768,Student_768,2,92,0,2,0
S769,Student_769,1,62,1,0,1
S770,Student_770,1,55,1,0,2
S771,Student_771,3,96,0,2,1
